Chip	Pin	VB Edge Pin
1	1	16
1	2	34
1	3	32
1	4	26
1	5	15
1	6	17
1	7	19
1	8	21
1	9	23
1	10	25
1	11	27
1	12	29
1	13	37
1	14	41
1	15	45
1	16	GND (60)
1	17	49
1	18	52
1	19	48
1	20	44
1	21	40
1	22	31
1	23	22
1	24	35
1	25	24
1	26	20
1	27	18
1	28	28
1	29	30
1	30	13
1	31	11
1	32	VCC (8)
2	1	16
2	2	34
2	3	32
2	4	26
2	5	15
2	6	17
2	7	19
2	8	21
2	9	23
2	10	25
2	11	27
2	12	29
2	13	39
2	14	43
2	15	47
2	16	GND (60)
2	17	51
2	18	50
2	19	46
2	20	42
2	21	38
2	22	31
2	23	22
2	24	35
2	25	24
2	26	20
2	27	18
2	28	28
2	29	30
2	30	13
2	31	11
2	32	VCC (8)
